Wall time,Step,Value
1621272695.993369,10,0.24370348453521729
1621272695.993369,15,0.26370348453521729
1621273112.2748983,20,0.2918958365917206
1621273112.2748983,25,0.3018958365917206
1621273538.0634882,30,0.28166714310646057
1621273538.0634882,35,0.29166714310646057
1621273952.495757,40,0.3031362295150757
1621274364.8533568,45,0.3071362295150757
1621274364.8533568,50,0.2927382290363312
1621273952.495757,55,0.2997382290363312
1621274787.749243,60,0.2781434655189514
1621274787.749243,65,0.2821434655189514
1621275205.703626,70,0.2905641198158264
1621275205.703626,75,0.2965641198158264
1621275627.6680312,80,0.3069981038570404
1621275627.6680312,85,0.3019981038570404
1621276038.936592,90,0.2795134484767914
1621276451.2750573,95,0.2825134484767914
1621276451.2750573,100,0.3032653331756592
