Wall time,Step,Value
1621272853.2500246,10,0.06964632123708725
1621274039.134397,20,0.09141324460506439
1621275223.506623,30,0.1075751930475235
1621276409.204897,40,0.11311034113168716
1621277384.113646,50,0.10797615349292755
1621278343.1543524,60,0.11486063152551651
1621279304.9983852,70,0.13192777335643768
1621280266.543263,80,0.13041435182094574
1621281231.605697,90,0.12275902926921844
1621282193.9991343,100,0.13421808183193207
1621283095.8502028,110,0.15247443318367004
1621283854.8275332,120,0.1256411224603653
1621284614.8777595,130,0.14946547150611877
1621285370.8096516,140,0.15156960487365723
1621286130.2303407,150,0.14130799472332
1621286887.634444,160,0.14400385320186615
1621287645.6549628,170,0.14403152465820312
1621288404.711496,180,0.14350809156894684
1621289163.4577043,190,0.14913548529148102
1621289923.957988,200,0.14796161651611328
