Wall time,Step,Value
1614875940.4758017,5,0.23196500539779663
1614886095.0398593,10,0.2287759929895401
1614896274.5108063,15,0.2989239990711212
1614906490.3455212,20,0.29015499353408813
1614916658.941135,25,0.2993220090866089
1614926907.8802886,30,0.26624199748039246
1614937119.18944,35,0.2730169892311096
1614947289.363554,40,0.27620598673820496
1614957536.3256462,45,0.3359900116920471
1614980279.6528118,50,0.262255996465683
1615003877.3021472,55,0.3411720097064972
1615025574.1796522,60,0.29095301032066345
1615046839.0671659,65,0.35671600699424744
1615067241.8582098,70,0.29613399505615234
1615089594.1858509,75,0.2957350015640259
1615110303.8584578,80,0.31207698583602905
1615136384.1987553,85,0.29334399104118347
1615157010.5762634,90,0.32801899313926697
1615179591.8750925,95,0.3236350119113922
1615200137.3528788,100,0.2981269955635071
