Wall time,Step,Value
1615353376.0023444,5,0.09496399760246277
1615399636.8306103,10,0.21669399738311768
1615447065.0227692,15,0.2672010064125061
1615492020.4893372,20,0.2858009934425354
1615536162.66772,25,0.27249398827552795
1615576305.8214917,30,0.30424898862838745
1615621935.4822807,35,0.31740498542785645
1615669292.3457177,40,0.23665499687194824
1615716842.9089382,45,0.3601999878883362
1615754013.7404752,50,0.28821998834609985
1615776972.645609,55,0.33237600326538086
1615798047.411347,60,0.342507004737854
1615822018.2804217,65,0.27793699502944946
1615846110.6191003,70,0.3261759877204895
1615869638.5071886,75,0.3295019865036011
1615928313.8114789,85,0.2239529937505722
1615961185.681641,90,0.3344930112361908
1615986537.5986626,95,0.32058098912239075
1616001453.975487,100,0.308786004781723
