Wall time,Step,Value
1621273611.6693392,10,0.2567150890827179
1621273611.6693392,15,0.2867150890827179
1621274807.2852654,20,0.30549752712249756
1621274807.2852654,25,0.31549752712249756
1621275991.0207038,30,0.31397122144699097
1621275991.0207038,35,0.31797122144699097
1621277053.0174854,40,0.3055274486541748
1621277053.0174854,45,0.3155274486541748
1621278016.8462753,50,0.34874314069747925
1621278016.8462753,55,0.34674314069747925
1621278981.1464512,60,0.34569185972213745
1621278981.1464512,65,0.34169185972213745
1621279946.120713,70,0.33514007925987244
1621279946.120713,75,0.34114007925987244
1621280911.8165312,80,0.3551500737667084
1621280911.8165312,85,0.3431500737667084
1621281876.0916827,90,0.33845800161361694
1621281876.0916827,95,0.34045800161361694
1621282841.9829109,100,0.3411647379398346
