Wall time,Step,Value
1621260421.6234107,10,0.07826623320579529
1621260688.4752803,20,0.06945281475782394
1621260956.6214876,30,0.10110564529895782
1621261224.471011,40,0.1382352113723755
1621261493.1003878,50,0.1456572711467743
1621261762.0813057,60,0.10961756110191345
1621262030.9377506,70,0.11800126731395721
1621262298.8168447,80,0.11371441185474396
1621262567.650128,90,0.13689278066158295
1621262836.3619902,100,0.11068422347307205
1621263105.4573102,110,0.15003325045108795
1621263373.9307451,120,0.14538227021694183
1621263651.8242433,130,0.10869396477937698
1621263930.199661,140,0.11564738303422928
1621264205.1858008,150,0.1114996001124382
1621264474.00051,160,0.11182387918233871
1621264742.4794216,170,0.12191597372293472
1621265010.1163714,180,0.12832064926624298
1621265279.2677376,190,0.13963530957698822
1621265549.565565,200,0.12262260913848877
