Wall time,Step,Value
1614257548.0696142,5,0.021472999826073647
1614264273.9537058,10,0.05141400173306465
1614270446.9817958,15,0.13790999352931976
1614277909.0414345,20,0.20868000388145447
1614285304.5705702,25,0.3326779901981354
1614292474.127238,30,0.2941179871559143
1614300272.8782375,35,0.4922119975090027
1614307165.742908,40,0.5729619860649109
1614315067.2342763,45,0.556177020072937
1614321711.9832928,50,0.5415089726448059
1614329917.6857166,55,0.6156060099601746
1614339220.4620328,60,0.6531080007553101
1614345975.1135354,65,0.6670200228691101
1614354143.6298318,70,0.6541659832000732
1614360802.1649904,75,0.6467559933662415
1614363509.3725727,80,0.670799970626831
1614366332.1460516,85,0.7615299820899963
1614370191.839541,90,0.679722011089325
1614376995.201055,95,0.6999850273132324
1614384822.9488282,100,0.7426279783248901
1614392224.9450963,105,0.7973690032958984
1614399724.5125372,110,0.7907149791717529
1614407588.5493162,115,0.7005900144577026
1614415637.4681518,120,0.8050810098648071
1614422679.4348624,125,0.7784669995307922
1614430270.1135788,130,0.7963100075721741
1614438398.325498,135,0.7480720281600952
1614445219.7799067,140,0.7356719970703125
1614453409.273273,145,0.7774080038070679
1614461029.6911592,150,0.8195980191230774
1614468365.6847744,155,0.7964619994163513
1614475738.260944,160,0.7616819739341736
1614482859.9684844,165,0.7346140146255493
1614485881.5898294,170,0.7556329965591431
1614488648.2870016,175,0.7448959946632385
1614491386.4525707,180,0.7414180040359497
1614494191.3054597,185,0.7963100075721741
1614496959.3456554,190,0.7970659732818604
1614499691.8363285,195,0.79510098695755
1614502515.1775281,200,0.803417980670929
