Wall time,Step,Value
1617212246.9791865,5,0.25149500370025635
1617218579.225474,10,0.508171021938324
1617238178.8793197,15,0.6508569717407227
1617256060.0504305,20,0.6919090151786804
1617262710.5760715,25,0.6759669780731201
1617282119.8463795,30,0.7074530124664307
1617300616.4722297,35,0.7377439737319946
1617308703.7865171,40,0.7879629731178284
1617326258.807578,45,0.7939419746398926
1617345104.7120335,50,0.8130729794502258
1617356896.2211611,55,0.8086889982223511
1617370456.2222402,60,0.8023120164871216
1617390623.3345268,65,0.7999200224876404
1617408515.671639,70,0.8098840117454529
1617415104.430547,75,0.8138700127601624
1617434676.203152,80,0.7851729989051819
1617452399.7279203,85,0.8230370283126831
1617459277.016137,90,0.8098840117454529
1617478745.8385453,95,0.8054999709129333
1617497846.361337,100,0.8357909917831421
1617792327.2300599,105,0.8306099772453308
1617795863.78045,110,0.8186529874801636
1617799391.6867592,115,0.8126739859580994
1617802923.7610147,120,0.8282179832458496
1617806462.3810332,125,0.8242329955101013
1617810010.0944533,130,0.8254280090332031
1617813504.3225799,135,0.8266239762306213
1617816990.5969265,140,0.8401749730110168
1617820462.451107,145,0.8545240163803101
1617823945.6382165,150,0.8186529874801636
1617827428.5680528,155,0.8429650068283081
1617830908.9634414,160,0.8373849987983704
1617834395.5828784,165,0.8258270025253296
1617837883.0328212,170,0.8481469750404358
1617841352.204786,175,0.8114789724349976
1617844858.8014085,180,0.8310080170631409
1617848340.6202888,185,0.8146669864654541
1617851823.7032557,190,0.8254280090332031
1617855335.5223477,195,0.8485450148582458
1617858810.5396867,200,0.8310080170631409
