Wall time,Step,Value
1613670959.738492,5,0.046271998435258865
1613675519.2430205,10,0.046574998646974564
1613679844.5410237,15,0.046271998435258865
1613683437.9902127,20,0.04597000032663345
1613688068.6235614,25,0.046271998435258865
1613692532.7023056,30,0.046271998435258865
1613696880.9159405,35,0.04430700093507767
1613700497.5704174,40,0.021472999826073647
1613705176.0506008,45,0.04007299989461899
1613709715.1721427,50,0.046574998646974564
1613714059.6320658,55,0.046574998646974564
1613717630.2730193,60,0.046271998435258865
1613722200.7534811,65,0.046271998435258865
1613726746.5308983,70,0.046574998646974564
1613731111.926422,75,0.022078000009059906
1613734684.9888763,80,0.046271998435258865
1613739349.5348723,85,0.046574998646974564
1613743846.9675097,90,0.046574998646974564
1613748138.484551,95,0.046271998435258865
1613751811.2031507,100,0.046574998646974564
1613756434.0682967,105,0.046271998435258865
1613761010.6056726,110,0.02132200077176094
1613765326.2479634,115,0.046574998646974564
1613768922.6424153,120,0.046574998646974564
1613773515.9742212,125,0.046574998646974564
1613778015.0829878,130,0.046271998435258865
1613782348.8936903,135,0.046271998435258865
1613785950.9071667,140,0.046574998646974564
1613790595.9219735,145,0.046271998435258865
1613795087.7117734,150,0.046574998646974564
1613799408.090996,155,0.046574998646974564
1613803064.2993875,160,0.046574998646974564
1613807637.903364,165,0.046271998435258865
1613812216.9365356,170,0.046574998646974564
1613816580.6165485,175,0.046574998646974564
1613820160.712044,180,0.046574998646974564
1613824795.7572136,185,0.009526999667286873
1613829284.8390172,190,0.046271998435258865
1613833647.346206,195,0.025707000866532326
1613837252.595246,200,0.046271998435258865
