Wall time,Step,Value
1614965667.0472674,5,0.4695099890232086
1614971996.5416222,10,0.3977679908275604
1614978338.2660463,15,0.549223005771637
1614984571.8365543,20,0.5958549976348877
1614990847.9640865,25,0.6289359927177429
1614997077.466558,30,0.6723790168762207
1615003273.3375282,35,0.642087996006012
1615009433.5794213,40,0.5914710164070129
1615015734.8118136,45,0.6656039953231812
1615021965.289153,50,0.7106419801712036
1615028171.5790706,55,0.6496610045433044
1615034414.3022945,60,0.7010759711265564
1615040471.0645685,65,0.6369069814682007
1615046619.1534166,70,0.7233960032463074
1615052672.6187756,75,0.7014750242233276
1615058669.854604,80,0.6404939889907837
1615064743.0726204,85,0.7449179887771606
1615070796.7138422,90,0.6564369797706604
1615076985.031483,95,0.6835389733314514
1615082972.2415822,100,0.6329209804534912
1615086730.5290682,105,0.6361100077629089
1615090374.0192554,110,0.7098450064659119
1615094001.273602,115,0.65163400322198868
1615097644.18064,120,0.6357110142707825
1615101259.559225,125,0.572737991809845
1615104900.509943,130,0.618573009967804
1615108532.143529,135,0.7110400199890137
1615112137.8023603,140,0.703117000237107277
1615115786.2108173,145,0.7178159952163696
1615119384.1679654,150,0.7066559791564941
1615123041.1815617,155,0.7158229947090149
1615126608.526033,160,0.5300920009613037
1615130226.2781053,165,0.6855319738388062
1615133752.2656507,170,0.610326999947428703
1615137334.7565885,175,0.5667600035667419
1615140941.976229,180,0.6755679845809937
1615144534.9975886,185,0.7393379807472229
1615148155.9430802,190,0.6416900157928467
1615151761.6276681,195,0.6791549921035767
1615155353.7780397,200,0.7094460129737854
