Wall time,Step,Value
1614252150.4126384,5,0.0358709990978241
1614254387.970386,10,0.04065399989485741
1614256671.1517382,15,0.0840969979763031
1614259998.9976664,20,0.3866080045700073
1614262406.3457305,25,0.42606601119041443
1614265766.8949146,30,0.48983699083328247
1614268268.0432572,35,0.529295027256012
1614271479.278171,40,0.5324829816818237
1614274042.1327765,45,0.6113989949226379
1614276456.456948,50,0.5029889941215515
1614279722.6606143,55,0.6548429727554321
1614282197.0064359,60,0.7166200280189514
1614284664.4542327,65,0.6851339936256409
1614288122.8555105,70,0.7058590054512024
1614290652.1921008,75,0.7090470194816589
1614293961.929788,80,0.7457150220870972
1614296564.40169,85,0.7341570258140564
1614299093.048414,90,0.7532879710197449
1614302493.6579816,95,0.7580710053443909
1614304962.3110325,100,0.7481070160865784
1614308149.0599031,105,0.652717999294400215
1614310609.092727,110,0.47145899295806885
1614313234.5533307,115,0.4463930130004883
1614316580.0013533,120,0.5500199794769287
1614318986.4720798,125,0.597449004650116
1614321458.6647918,130,0.6117979884147644
1614324844.5769372,135,0.3610999882221222
1614327295.6167219,140,0.6444799900054932
1614329813.7734344,145,0.6205660104751587
1614333273.2574744,150,0.7002789974212646
1614335547.917137,155,0.631523000672459602
1614337837.704474,160,0.556995000690221786
1614340912.0563443,165,0.4129770004749298
1614343497.895235,170,0.3575130105018616
1614346380.8008826,175,0.46273401379585266
1614349508.7356205,180,0.46273401379585266
1614352095.4640949,185,0.48545199632644653
1614355349.60219,190,0.42447200417518616
1614357998.2123215,195,0.5934640169143677
1614360591.1861033,200,0.5675569772720337
1614372165.6533139,205,0.6197689771652222
1614374671.1669848,210,0.5946589708328247
1614377979.1101718,215,0.6552410125732422
1614380548.4169521,220,0.687923014163971
1614383130.1092646,225,0.6703870296478271
1614386474.2140493,230,0.6863290071487427
1614389070.5324857,235,0.7162219882011414
1614391603.0317278,240,0.6189720034599304
1614395113.132965,245,0.7301710247993469
1614397565.1209517,250,0.6604220271110535
1614400830.1683645,255,0.6544439792633057
1614403373.149554,260,0.7042649984359741
1614405826.5791924,265,0.7237939834594727
1614409097.4325247,270,0.7297729849815369
1614411488.8940778,275,0.6805820007622242
1614413930.2439294,280,0.56957399487495422
1614417282.7806978,285,0.3463529944419861
1614419772.7264876,290,0.4806700050830841
1614422243.1949818,295,0.35333599776029587
1614425652.1283684,300,0.31606200337409973
1614428285.0076826,305,0.5619770288467407
1614431758.8755064,310,0.5643680095672607
1614434147.050764,315,0.3499400019645691
1614436751.5209997,320,0.6843360066413879
1614440143.8672414,325,0.6472700238227844
1614442567.3287523,330,0.6683940291404724
1614445119.2768326,335,0.6261460185050964
1614448634.5073123,340,0.687923014163971
1614451294.7400756,345,0.6974890232086182
1614454724.501601,350,0.7289760112762451
1614457354.6057897,355,0.6512550115585327
1614459962.9228191,360,0.7241929769515991
1614463434.022825,365,0.7158229947090149
1614466132.1387262,370,0.7385410070419312
1614469522.4629295,375,0.7158229947090149
1614472224.984381,380,0.7381430268287659
1614474886.1693778,385,0.7265840172767639
1614478344.212604,390,0.7034680247306824
1614480909.0677776,395,0.7592669725418091
1614484136.9229028,400,0.6851339936256409
