Wall time,Step,Value
1614253039.6334484,5,0.1288370043039322
1614257072.7050664,10,0.5490700006484985
1614261090.8374276,15,0.6168149709701538
1614265992.1336246,20,0.6709510087966919
1614272780.1011903,25,0.7164679765701294
1614276913.4857833,30,0.7093600034713745
1614280982.8441126,35,0.6691370010375977
1614285051.0101001,40,0.7371839880943298
1614289119.2859154,45,0.7696959972381592
1614293296.1072922,50,0.7480720281600952
1614297378.4410439,55,0.6993799805641174
1614301498.0740125,60,0.7572960257530212
1614305553.9375975,65,0.7521550059318542
1614309619.6601605,70,0.7710570096969604
1614313769.4103837,75,0.7678809762001038
1614317872.7024527,80,0.7582039833068848
1614322022.5047684,85,0.6866779923439026
1614326065.8444448,90,0.7801300287246704
1614330198.912558,95,0.7742329835891724
1614334282.3001058,100,0.724481999874115
1614338468.1129122,105,0.7966129779815674
1614342549.211311,110,0.7799789905548096
1614346685.6755133,115,0.7864810228347778
1614350807.3472495,120,0.7804319858551025
1614354894.288879,125,0.7523059844970703
1614359203.708635,130,0.7810369729995728
1614363341.139883,135,0.7592620253562927
1614367415.668715,140,0.729170024394989
1614376360.0728922,145,0.7479209899902344
1614385735.7774186,150,0.7621350288391113
1614394336.1073895,155,0.7675790190696716
1614402683.0322132,160,0.6946920156478882
1614411613.0197537,165,0.7666720151901245
1614419866.8663719,170,0.6431270241737366
1614428228.1007712,175,0.7367309927940369
1614437242.3633096,180,0.7845150232315063
1614446449.59244,185,0.7644029855728149
1614454419.380401,190,0.7033119797706604
1614462798.4700859,195,0.791018009185791
1614471192.3911946,200,0.7308329939842224
